"","구 분","","’98","","","’01","","","’05","","","’07","","","’08","","","’09","","","’10","","","’11","","","’12","","","’13","","","’14","","","’15","","","’16","","","’17","","","’18","","","’19","","","’20","","","’21","","","’22","","","’23","",""
"","","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)",""
"","","소득수준2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"",""," 하","-","-","-","-","-","-","1,599","1.5","(0.4)","561","2.2","(0.7)*","1,321","2.7","(0.5)","1,467","4.1","(0.6)","1,215","3.2","(0.6)","1,204","4.1","(0.7)","1,079","2.1","(0.5)*","-","-","-","-","-","-","1,046","5.0","(0.8)","1,191","5.3","(0.8)","1,211","4.2","(0.7)","1,236","4.2","(0.7)","1,236","5.6","(0.8)","1,148","5.6","(0.9)","1,126","5.4","(0.9)","1,039","5.6","(0.9)","1,127","5.4","(0.8)"
"",""," 중하","-","-","-","-","-","-","1,548","1.7","(0.3)","570","1.8","(0.7)*","1,328","2.3","(0.5)","1,507","1.5","(0.3)","1,247","3.2","(0.7)","1,184","2.9","(0.6)","1,116","3.5","(0.7)","-","-","-","-","-","-","1,077","1.6","(0.4)","1,201","2.4","(0.5)","1,216","3.4","(0.6)","1,236","3.0","(0.7)","1,223","4.0","(0.7)","1,162","3.7","(0.7)","1,107","3.8","(0.6)","1,053","4.0","(0.8)","1,152","4.4","(0.8)"
"",""," 중","-","-","-","-","-","-","1,520","1.6","(0.4)","566","1.2","(0.6)*","1,295","2.5","(0.4)","1,476","1.9","(0.4)","1,271","1.6","(0.4)*","1,190","1.3","(0.3)*","1,087","2.9","(0.6)","-","-","-","-","-","-","1,081","2.5","(0.5)","1,201","2.5","(0.5)","1,221","1.8","(0.4)","1,242","2.0","(0.4)","1,225","2.4","(0.5)","1,172","3.3","(0.6)","1,123","2.8","(0.6)","1,051","4.8","(0.8)","1,150","5.0","(0.8)"
"",""," 중상","-","-","-","-","-","-","1,523","1.3","(0.3)","570","2.3","(0.9)*","1,341","1.6","(0.4)","1,494","2.0","(0.4)","1,214","1.1","(0.3)*","1,193","1.4","(0.4)*","1,110","2.0","(0.6)*","-","-","-","-","-","-","1,084","1.5","(0.4)","1,203","3.3","(0.7)","1,228","2.5","(0.5)","1,222","2.6","(0.6)","1,244","2.2","(0.5)","1,176","2.6","(0.6)","1,124","3.8","(0.7)","1,057","4.3","(0.8)","1,159","4.2","(0.7)"
"",""," 상","-","-","-","-","-","-","1,524","1.1","(0.3)*","572","0.6","(0.2)*","1,298","1.5","(0.4)","1,455","1.6","(0.4)","1,228","1.7","(0.4)","1,207","1.8","(0.5)*","1,134","1.6","(0.4)*","-","-","-","-","-","-","1,088","1.8","(0.4)","1,199","3.1","(0.6)","1,220","2.0","(0.4)","1,231","2.3","(0.4)","1,237","2.5","(0.6)","1,179","2.6","(0.4)","1,127","3.4","(0.7)","1,050","2.6","(0.5)","1,160","3.7","(0.6)"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","거주지역(표준화)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"",""," 동","-","-","-","-","-","-","6,238","1.6","(0.2)","2,114","1.4","(0.3)","4,998","2.1","(0.2)","5,560","2.4","(0.2)","4,889","2.3","(0.2)","4,812","2.1","(0.3)","4,466","2.5","(0.3)","-","-","-","-","-","-","4,366","2.6","(0.3)","4,852","3.3","(0.3)","4,992","2.9","(0.3)","5,062","2.8","(0.3)","4,960","3.6","(0.4)","4,660","4.1","(0.4)","4,375","4.0","(0.4)","4,109","4.9","(0.5)","4,605","5.4","(0.4)"
"",""," 읍면","-","-","-","-","-","-","1,563","1.0","(0.4)*","863","2.7","(0.9)*","1,796","2.7","(0.7)*","1,920","1.6","(0.3)","1,366","1.7","(0.6)*","1,214","3.0","(0.8)*","1,125","2.7","(0.8)*","-","-","-","-","-","-","1,041","2.1","(0.7)*","1,162","4.0","(0.6)","1,124","2.3","(0.7)*","1,123","3.6","(1.2)*","1,232","2.4","(0.7)*","1,197","2.6","(0.7)*","1,259","5.1","(1.3)","1,147","5.1","(1.2)","1,161","4.2","(1.0)"
