"읍부","계","75~79",37780,17569,4115,3397,301,955,148,11295
"읍부","계","80~84",31797,13595,2362,1859,142,645,52,13142
"읍부","계","85세 이상",22246,7941,1141,886,45,316,62,11855
"읍부","남자","합계",328440,16932,24833,123414,48528,96436,15099,3198
"읍부","남자","20세 미만",3128,-,129,1438,362,1199,-,-
"읍부","남자","20~24",19218,-,139,4904,3174,10624,377,-
"읍부","남자","25~29",34988,-,129,7128,8146,17548,2037,-
"읍부","남자","30~34",33498,-,192,6856,7767,16308,2375,-
"읍부","남자","35~39",31358,-,351,9688,7918,11820,1581,-
"읍부","남자","40~44",28807,-,697,11067,6605,9145,1293,-
"읍부","남자","45~49",32675,143,1268,16999,4937,7425,1903,-
"읍부","남자","50~54",33593,204,2364,18437,3704,7231,1653,-
"읍부","남자","55~59",32841,872,4335,16865,2840,6408,1521,-
"읍부","남자","60~64",29343,1524,5674,14864,1726,4239,1316,-
"읍부","남자","65~69",18761,3771,3859,7858,797,1929,547,-
"읍부","남자","70~74",12493,3651,2616,3791,297,1132,269,737
"읍부","남자","75~79",8195,2932,1490,1900,156,696,121,900
"읍부","남자","80~84",5883,2314,1049,1140,72,482,47,779
"읍부","남자","85세 이상",3659,1521,541,479,27,250,59,782
"읍부","여자","합계",293323,59920,30409,81382,23273,49845,10014,38480
"읍부","여자","20세 미만",2697,-,92,925,374,1306,-,-
"읍부","여자","20~24",17723,-,112,2691,3154,11273,493,-
"읍부","여자","25~29",18560,-,59,2520,3421,10851,1709,-
"읍부","여자","30~34",13189,-,205,2517,2750,6362,1355,-
"읍부","여자","35~39",11609,-,170,3631,2680,4017,1111,-
"읍부","여자","40~44",12062,-,229,5278,2419,3076,1060,-
"읍부","여자","45~49",16242,61,512,8625,2448,3345,1251,-
"읍부","여자","50~54",19787,236,1765,11469,2118,3162,1037,-
"읍부","여자","55~59",24955,918,4747,13853,1657,2814,966,-
"읍부","여자","60~64",29394,2914,7657,15523,1093,1589,618,-
"읍부","여자","65~69",26798,10067,6155,8729,664,885,298,-
"읍부","여자","70~74",26221,13386,4168,2998,262,677,81,4649
"읍부","여자","75~79",29585,14637,2625,1497,145,259,27,10395
"읍부","여자","80~84",25914,11281,1313,719,70,163,5,12363
"읍부","여자","85세 이상",18587,6420,600,407,18,66,3,11073
"면부","계","합계",720479,143218,72814,201271,53317,109687,22752,117420
"면부","계","20세 미만",4828,-,77,1353,1434,1964,-,-
"면부","계","20~24",24263,-,117,4366,6114,13342,324,-
"면부","계","25~29",28508,-,194,5623,6143,14923,1625,-
"면부","계","30~34",25239,-,236,5310,5139,12488,2066,-
"면부","계","35~39",24637,-,347,7335,5648,9223,2084,-
"면부","계","40~44",26951,-,629,10714,5428,8227,1953,-
"면부","계","45~49",37051,141,1768,19030,5203,8479,2430,-
"면부","계","50~54",51269,574,4363,27896,5364,10220,2852,-
"면부","계","55~59",69914,2297,11333,36421,5174,11454,3235,-
"면부","계","60~64",81943,6888,18412,41281,4169,8086,3107,-
"면부","계","65~69",70655,22765,14549,24450,1971,5146,1774,-
"면부","계","70~74",65692,30773,9377,8877,882,3045,844,11894
"면부","계","75~79",76725,34073,6088,4545,340,1715,303,29661
"면부","계","80~84",75066,28436,3534,2725,203,883,108,39177
"면부","계","85세 이상",57738,17271,1790,1345,105,492,47,36688
"면부","남자","합계",345918,36585,39682,130243,37145,78182,15818,8263
"면부","남자","20세 미만",2829,-,50,898,634,1247,-,-
"면부","남자","20~24",13733,-,70,3018,3424,7084,137,-
"면부","남자","25~29",20280,-,140,4374,4656,10069,1041,-
"면부","남자","30~34",19082,-,138,4078,3956,9548,1362,-
"면부","남자","35~39",18553,-,222,5549,4309,7043,1430,-
"면부","남자","40~44",20101,-,461,8069,4051,6228,1292,-
"면부","남자","45~49",26977,86,1338,14003,3724,6194,1632,-
"면부","남자","50~54",35378,373,2841,19167,3580,7501,1916,-
"면부","남자","55~59",44313,1215,6365,22599,3488,8349,2297,-
"면부","남자","60~64",47052,2793,9670,23207,3025,6075,2282,-
"면부","남자","65~69",34278,7230,7286,13126,1306,3943,1387,-
"면부","남자","70~74",23208,7405,4760,5977,548,2365,639,1514
"면부","남자","75~79",17127,6734,3276,3177,219,1388,259,2074
"면부","남자","80~84",13441,6167,1982,2092,146,736,98,2220
"면부","남자","85세 이상",9566,4582,1083,909,79,412,46,2455
"면부","여자","합계",374561,106633,33132,71028,16172,31505,6934,109157
"면부","여자","20세 미만",1999,-,27,455,800,717,-,-
"면부","여자","20~24",10530,-,47,1348,2690,6258,187,-
"면부","여자","25~29",8228,-,54,1249,1487,4854,584,-
"면부","여자","30~34",6157,-,98,1232,1183,2940,704,-
"면부","여자","35~39",6084,-,125,1786,1339,2180,654,-
"면부","여자","40~44",6850,-,168,2645,1377,1999,661,-
"면부","여자","45~49",10074,55,430,5027,1479,2285,798,-
"면부","여자","50~54",15891,201,1522,8729,1784,2719,936,-
"면부","여자","55~59",25601,1082,4968,13822,1686,3105,938,-
"면부","여자","60~64",34891,4095,8742,18074,1144,2011,825,-
"면부","여자","65~69",36377,15535,7263,11324,665,1203,387,-
"면부","여자","70~74",42484,23368,4617,2900,334,680,205,10380
"면부","여자","75~79",59598,27339,2812,1368,121,327,44,27587
"면부","여자","80~84",61625,22269,1552,633,57,147,10,36957
"면부","여자","85세 이상",48172,12689,707,436,26,80,1,34233
"서울특별시","계","합계",1390701,89188,92889,343403,165626,561170,113312,25113
"서울특별시","계","20세 미만",14237,-,160,4536,1842,7699,-,-
"서울특별시","계","20~24",123938,-,444,17039,21301,81463,3691,-
"서울특별시","계","25~29",238517,-,598,25291,37603,150944,24081,-
"서울특별시","계","30~34",183573,-,515,18333,28382,112559,23784,-
"서울특별시","계","35~39",126485,-,966,21389,22741,64870,16519,-
"서울특별시","계","40~44",91518,-,1499,23151,16530,38321,12017,-
"서울특별시","계","45~49",90186,227,3232,34424,12790,28783,10730,-
"서울특별시","계","50~54",82704,515,7019,38174,7768,21637,7591,-
"서울특별시","계","55~59",84976,2362,12322,42937,5649,16822,4884,-
"서울특별시","계","60~64",94834,5312,18811,48642,4747,12947,4375,-
"서울특별시","계","65~69",77047,15196,16397,31243,2843,8832,2536,-
"서울특별시","계","70~74",65469,19625,13405,18244,1555,6992,1398,4250
"서울특별시","계","75~79",54109,20574,9266,10777,974,4646,789,7083
"서울특별시","계","80~84",37968,15358,5290,5808,558,2898,550,7506
"서울특별시","계","85세 이상",25140,10019,2965,3415,343,1757,367,6274
"서울특별시","남자","합계",650999,19416,38461,175801,76749,282922,54905,2745
"서울특별시","남자","20세 미만",5345,-,106,1916,552,2771,-,-
"서울특별시","남자","20~24",42602,-,254,7673,5783,27846,1046,-
"서울특별시","남자","25~29",114318,-,357,14949,16561,70843,11608,-
"서울특별시","남자","30~34",102247,-,394,11412,14215,63721,12505,-
"서울특별시","남자","35~39",70540,-,678,12948,12003,37012,7899,-
"서울특별시","남자","40~44",51144,-,1095,13762,8914,22031,5342,-
"서울특별시","남자","45~49",52330,159,2234,20587,6973,17150,5227,-
"서울특별시","남자","50~54",48793,332,4585,22922,4296,12885,3773,-
"서울특별시","남자","55~59",46352,1265,6706,22949,3119,9877,2436,-
"서울특별시","남자","60~64",42318,2114,7983,20986,2175,6933,2127,-
"서울특별시","남자","65~69",28985,4630,5769,12069,1084,4226,1207,-
"서울특별시","남자","70~74",20181,3858,4029,6808,519,3463,666,838
"서울특별시","남자","75~79",13245,3541,2274,3940,272,1997,486,735
"서울특별시","남자","80~84",7863,2099,1206,1972,185,1267,341,793
"서울특별시","남자","85세 이상",4736,1418,791,908,98,900,242,379
"서울특별시","여자","합계",739702,69772,54428,167602,88877,278248,58407,22368
"서울특별시","여자","20세 미만",8892,-,54,2620,1290,4928,-,-
"서울특별시","여자","20~24",81336,-,190,9366,15518,53617,2645,-
"서울특별시","여자","25~29",124199,-,241,10342,21042,80101,12473,-
"서울특별시","여자","30~34",81326,-,121,6921,14167,48838,11279,-
"서울특별시","여자","35~39",55945,-,288,8441,10738,27858,8620,-
"서울특별시","여자","40~44",40374,-,404,9389,7616,16290,6675,-
"서울특별시","여자","45~49",37856,68,998,13837,5817,11633,5503,-
"서울특별시","여자","50~54",33911,183,2434,15252,3472,8752,3818,-
"서울특별시","여자","55~59",38624,1097,5616,19988,2530,6945,2448,-
"서울특별시","여자","60~64",52516,3198,10828,27656,2572,6014,2248,-
"서울특별시","여자","65~69",48062,10566,10628,19174,1759,4606,1329,-
"서울특별시","여자","70~74",45288,15767,9376,11436,1036,3529,732,3412
"서울특별시","여자","75~79",40864,17033,6992,6837,702,2649,303,6348
"서울특별시","여자","80~84",30105,13259,4084,3836,373,1631,209,6713
"서울특별시","여자","85세 이상",20404,8601,2174,2507,245,857,125,5895
"부산광역시","계","합계",455207,54886,52669,139811,49077,125392,17145,16227
"부산광역시","계","20세 미만",4513,-,57,1214,558,2684,-,-
"부산광역시","계","20~24",36903,-,187,4639,5849,25755,473,-
"부산광역시","계","25~29",46740,-,225,7148,9105,27878,2384,-
"부산광역시","계","30~34",33655,-,260,5888,6568,18543,2396,-
"부산광역시","계","35~39",27809,-,534,7198,6270,11658,2149,-
"부산광역시","계","40~44",24544,-,760,8613,5099,8190,1882,-
"부산광역시","계","45~49",28650,113,1272,13667,4403,7095,2100,-
"부산광역시","계","50~54",31838,239,2846,16306,3645,6965,1837,-
"부산광역시","계","55~59",37611,995,6792,19641,2771,5974,1438,-
"부산광역시","계","60~64",46987,3317,12041,23911,2418,4084,1216,-
"부산광역시","계","65~69",41298,10355,10931,15561,1145,2561,745,-
"부산광역시","계","70~74",34080,13210,7890,7695,629,1703,294,2659
"부산광역시","계","75~79",28761,12576,4875,4551,378,1070,113,5198
"부산광역시","계","80~84",20250,9083,2751,2545,168,724,85,4894
"부산광역시","계","85세 이상",11568,4998,1248,1234,71,508,33,3476
"부산광역시","남자","합계",206311,10490,20359,71626,24554,69061,8836,1385
"부산광역시","남자","20세 미만",1863,-,32,565,131,1135,-,-
"부산광역시","남자","20~24",15709,-,104,2212,2033,11257,103,-
"부산광역시","남자","25~29",24621,-,96,4460,4326,14480,1259,-
"부산광역시","남자","30~34",20296,-,134,3916,3512,11386,1348,-
"부산광역시","남자","35~39",16917,-,342,4608,3580,7269,1118,-
"부산광역시","남자","40~44",15010,-,565,5430,2989,5158,868,-
"부산광역시","남자","45~49",16979,78,938,8211,2502,4311,939,-
